feature,importance
attempted_manip,0.49065247466415307
price_deviation_pct,0.14495562985606103
trade_frequency,0.057783502990067445
buyer_balance_ratio,0.047010970495351335
seller_balance_ratio,0.04673268312571384
trade_price,0.04179667333535918
trade_size,0.03840496746325864
trade_value,0.03773325751527644
market_price,0.03403374719723803
rolling_volatility,0.03312355142773141
hour,0.012693886618738768
weekday,0.011044948419586835
market_trend,0.0031638466106353232
counterparty_repeat,0.0008698602808286953
